learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,5.762403905,2.713258861885672E-5,100.0,52.0,4.0000000000000036,51.515151515151516,4.0000000000000036,61.58770806658131,67.56756756756758,7.6923076923076925,75.51020408163265,51.02040816326531,100.0,52.0,100.0,4.0,100.0,1.8200776E7
200.0,11.768291874,5.5440136622171216E-5,200.0,55.50000000000001,11.00000000000001,55.276381909547744,11.00000000000001,64.31363900639548,69.20415224913495,19.819819819819816,76.45502645502646,52.910052910052904,100.0,55.50000000000001,100.0,11.0,200.0,1.821912E7
300.0,17.598532841,8.293545771213254E-5,300.0,58.333333333333336,16.666666666666675,58.19397993311037,16.666666666666675,66.48044692737432,70.58823529411764,28.57142857142857,77.27272727272727,54.54545454545454,100.0,58.333333333333336,100.0,16.666666666666664,300.0,1.8229496E7
400.0,23.3118488,1.0989719343739465E-4,400.0,60.5,20.999999999999996,60.40100250626567,20.999999999999996,67.28819103696434,71.48014440433212,35.77235772357724,75.792188651437,55.932203389830505,95.65217391304348,60.5,99.0,22.0,400.0,1.824156E7
500.0,29.450771106,1.388892628959753E-4,500.0,62.0,24.0,61.923847695390776,24.0,68.64200691155766,72.30320699708454,39.49044585987261,76.87786697247707,56.88073394495413,96.875,62.0,99.2,24.8,500.0,1.825532E7
600.0,35.719405568,1.6850754160995462E-4,600.0,63.0,26.0,62.93823038397329,26.0,69.29730884237506,72.79411764705883,42.1875,76.99335548172758,57.55813953488372,96.42857142857143,63.0,99.0,27.0,600.0,1.826372E7
700.0,41.866780685,1.9756409828069484E-4,700.0,64.28571428571429,28.57142857142858,64.2346208869814,28.57142857142858,70.22404209543399,73.46072186836517,45.414847161572055,77.37112112112112,58.445945945945944,96.29629629629629,64.28571428571428,98.85714285714286,29.714285714285715,700.0,1.8270768E7
800.0,48.132852011,2.2720465851759535E-4,800.0,64.625,29.25,64.58072590738423,29.25,70.5756600128783,73.67441860465117,46.09523809523809,77.73333333333333,58.666666666666664,96.8,64.625,99.0,30.25,800.0,1.8284936E7
900.0,54.509482253,2.573794160154669E-4,900.0,65.44444444444444,30.8888888888889,65.40600667408232,30.8888888888889,71.27842475629411,74.14796342477142,47.906197654941366,78.25432962029433,59.22974767596282,97.27891156462584,65.44444444444444,99.11111111111111,31.77777777777778,900.0,1.8291736E7
1000.0,60.962569974,2.8793360587538413E-4,1000.0,66.0,32.00000000000001,65.96596596596596,32.00000000000001,71.75820974911666,74.47447447447448,49.10179640718563,78.61721611721612,59.61538461538461,97.61904761904762,66.0,99.2,32.800000000000004,1000.0,1.8302296E7
