learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,9.82720351,6.213764577543639E-5,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,2.4441464E7
200.0,19.906945758,1.3008898215061403E-4,200.0,99.0,82.81786941580755,50.0,66.66666666666666,91.40893470790378,99.48453608247422,83.33333333333334,91.40893470790378,99.48453608247422,83.33333333333334,91.40893470790378,99.48453608247422,83.33333333333334,200.0,2.6058592E7
300.0,30.07621609,1.9868071324870734E-4,300.0,97.33333333333334,54.33789954337909,-100.0,-33.333333333332966,79.34944333282029,98.62542955326461,55.55555555555556,70.65972222222221,99.65277777777779,41.66666666666667,90.47619047619048,97.61904761904762,83.33333333333334,300.0,2.60726E7
400.0,40.21153162,2.6706120693700965E-4,400.0,96.75,42.196531791907645,-224.99999999999946,-116.6666666666663,75.24688760517333,98.32689832689833,43.47826086956522,64.57533405006912,99.73890339425587,29.411764705882355,90.14382402707277,96.95431472081218,83.33333333333334,400.0,2.6079384E7
500.0,50.550799686,3.3683184129439765E-4,500.0,94.8,25.934366453965346,-333.33333333333337,-225.0,67.26316418076023,97.30290456431536,27.77777777777778,58.610774818401936,99.36440677966102,17.857142857142858,78.91260162601625,95.32520325203252,62.5,500.0,2.6084664E7
600.0,61.024699156,4.0752836951508335E-4,600.0,93.83333333333333,25.453324378777754,-362.5000000000007,-269.99999999999875,68.16746916998923,96.77980852915577,27.45098039215686,58.26824905100572,99.46332737030411,17.073170731707318,82.11864406779661,94.23728813559322,70.0,600.0,2.609108E7
700.0,71.153867956,4.759361735887151E-4,700.0,94.0,43.609022556390954,-250.00000000000065,-90.90909090909082,75.31117954119429,96.8229954614221,46.15384615384615,65.76086956521739,99.37888198757764,32.142857142857146,88.10673102708502,94.3952802359882,81.81818181818183,700.0,2.6105632E7
800.0,81.037303475,5.428008764417542E-4,800.0,90.25,62.0253164556962,-500.0000000000007,36.065573770491774,81.01429614488183,94.2562592047128,67.76859504132233,81.22549019607843,94.11764705882352,68.33333333333333,80.80419749504328,94.3952802359882,67.21311475409836,800.0,2.6151184E7
900.0,91.157341002,6.113119079967797E-4,900.0,87.66666666666667,62.09706792933895,-296.42857142857156,44.7761194029851,81.2909497252571,92.25401256106073,69.75476839237056,83.58146482387315,90.05449591280654,77.10843373493977,79.1226272073111,94.56366237482118,63.681592039801,900.0,2.6168616E7
1000.0,101.334957399,6.802379735267726E-4,1000.0,86.7,62.450592885375485,-107.81250000000017,48.249027237354085,81.66544078984317,91.3804277381724,70.89715536105032,84.5625,88.125,81.0,78.96030918926846,94.885598923284,63.035019455252915,1000.0,2.61782E7
1100.0,111.47706386,7.489492673882154E-4,1100.0,82.45454545454545,52.937264464642,-101.0416666666666,40.61538461538462,77.70926020285943,88.42231553689261,63.789868667917446,82.17704380820973,82.62331838565022,81.73076923076923,73.70223325062035,95.09677419354838,52.307692307692314,1100.0,2.6188E7
1200.0,121.904336478,8.196120937940276E-4,1200.0,81.5,50.062421972534324,-89.74358974358974,38.161559888579376,76.63408342519224,87.85557986870897,61.18881118881119,81.75863692795069,81.35764944275583,82.15962441314554,72.11404383294857,95.48156956004756,48.74651810584958,1200.0,2.6195256E7
1300.0,131.847391817,8.870059183882852E-4,1300.0,78.53846153846153,43.72311836298975,-123.20000000000006,33.41288782816228,74.18014081476592,85.80152671755724,56.062992125984245,80.08746754134208,77.76752767527675,82.4074074074074,69.08440993771994,95.68671963677639,42.482100238663485,1300.0,2.620008E7
1400.0,142.054181033,9.562131393406514E-4,1400.0,76.28571428571429,39.53081742678129,-128.96551724137936,30.543933054393314,72.57618622464689,84.17540514775976,52.7065527065527,78.83715986394557,75.08503401360545,82.58928571428571,67.23649697310739,95.7700650759219,38.70292887029289,1400.0,2.6209856E7
1500.0,152.697190024,0.001028392623810486,1500.0,74.33333333333333,35.9940593620464,-115.08379888268168,28.037383177570085,71.1708418113626,82.75862068965519,49.80443285528031,77.59912433373219,72.87066246056783,82.32758620689656,65.72611495811341,95.75129533678756,35.700934579439256,1500.0,2.6215112E7
