learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.42501103,3.3932532089265685E-8,100.0,100.0,?,?,?,?,100.0,?,?,100.0,?,?,100.0,?,100.0,308616.0
200.0,0.635363866,5.187581188332289E-8,200.0,97.5,53.271028037383125,-25.0,16.666666666666664,76.78437846622127,98.71465295629821,54.54545454545454,79.23076923076924,98.46153846153847,60.0,74.48453608247422,98.96907216494846,50.0,200.0,329728.0
300.0,0.745002363,6.123374370995288E-8,300.0,97.0,38.52459016393431,-125.00000000000063,-50.0,69.84673131060369,98.46153846153847,40.0,66.1512027491409,98.96907216494846,33.33333333333333,73.9795918367347,97.95918367346938,50.0,300.0,329928.0
400.0,0.837434419,6.912401738563966E-8,400.0,97.0,31.97278911564641,-200.0,-100.0,67.47842318461286,98.46547314578005,33.33333333333333,62.11340206185567,99.22680412371135,25.0,73.85786802030456,97.71573604060913,50.0,400.0,329968.0
500.0,0.902468344,7.467523637773882E-8,500.0,95.0,17.393602960613382,-316.66666666666663,-212.5,60.889335558782044,97.42002063983489,19.354838709677416,55.99763011575973,98.9517819706499,13.043478260869565,66.71747967479675,95.9349593495935,37.5,500.0,329952.0
600.0,0.957468337,7.937213352839565E-8,600.0,94.83333333333334,18.492550394391134,-287.5000000000005,-209.99999999999886,61.59313011046949,97.32988802756245,20.512820512820515,56.37115767860378,98.9492119089317,13.793103448275861,67.88135593220339,95.76271186440678,40.0,600.0,330104.0
700.0,1.023525819,8.502726440261635E-8,700.0,93.85714285714286,26.556705055631642,-258.3333333333334,-95.45454545454504,64.16923495704022,96.78864824495894,29.508196721311474,60.555102990806475,98.03328290468987,23.076923076923077,68.24215607401449,95.57522123893806,40.909090909090914,700.0,330920.0
800.0,1.07713258,8.962936810997832E-8,800.0,93.25,74.40273037542663,-315.38461538461576,55.73770491803277,87.21746414425368,96.0,78.4,86.49553571428572,96.42857142857143,76.5625,87.95154504569854,95.57522123893806,80.32786885245902,800.0,331848.0
900.0,1.128815325,9.406768687959139E-8,900.0,92.88888888888889,79.50163346358336,-128.57142857142878,68.1592039800995,89.75081673179169,95.42203147353362,84.07960199004975,89.75081673179169,95.42203147353362,84.07960199004975,89.75081673179169,95.42203147353362,84.07960199004975,900.0,331952.0
1000.0,1.182695417,9.869526305589204E-8,1000.0,92.5,80.33643056400362,-17.187500000000032,70.81712062256811,90.16835690870556,94.95628782784131,85.38011695906432,90.21967405913979,94.89247311827957,85.546875,90.11709810370199,95.02018842530283,85.21400778210116,1000.0,331992.0
