learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.295614598,5.057797418836918E-9,100.0,76.0,33.4442595673877,63.63636363636365,27.272727272727266,73.43957503320054,84.81012658227849,42.857142857142854,86.81318681318682,73.62637362637363,100.0,63.63636363636363,100.0,27.27272727272727,100.0,66136.0
200.0,0.389000613,6.659057852172603E-9,200.0,80.5,48.84575026232948,70.67669172932331,41.79104477611941,78.7899388171312,87.21311475409837,58.94736842105264,88.66279069767442,77.32558139534885,100.0,70.89552238805969,100.0,41.7910447761194,200.0,66280.0
300.0,0.432572286,7.406528239113588E-9,300.0,86.0,65.0,78.99999999999999,57.99999999999999,84.55665930831493,90.45454545454547,73.75,90.625,82.91666666666667,98.33333333333333,79.25,99.5,59.0,300.0,66312.0
400.0,0.471452375,8.076331007550988E-9,400.0,73.25,41.05332745702954,59.925093632958806,35.92814371257486,72.92829843459046,80.36697247706422,58.03921568627452,77.1416083916084,70.1923076923077,84.0909090909091,69.15139677726093,93.99141630901288,44.31137724550898,400.0,66592.0
500.0,0.512294359,8.780692863269813E-9,500.0,67.60000000000001,32.994722300349096,51.49700598802396,30.47210300429185,68.34743415507198,74.60815047021944,55.24861878453039,70.83516162059382,64.15094339622641,77.51937984496125,66.02851585732427,89.13857677902621,42.91845493562232,500.0,66664.0
600.0,0.552040975,9.466575274769631E-9,600.0,66.83333333333333,33.666666666666664,50.374064837905244,33.666666666666664,68.25237614008427,72.16783216783217,58.96907216494846,69.73298599804623,62.16867469879518,77.29729729729729,66.83333333333333,86.0,47.66666666666667,600.0,66704.0
700.0,0.584393501,1.0025063385814429E-8,700.0,65.42857142857143,29.77539734522812,48.29059829059828,27.32732732732733,65.48547339219712,70.77294685990337,57.692307692307686,66.29757031739261,63.55748373101952,69.0376569037657,64.69303090556497,79.83651226158038,49.549549549549546,700.0,66728.0
800.0,0.61409008,1.0537702995784995E-8,800.0,66.75,31.65335919885404,50.280373831775705,27.520435967302447,66.36540284607393,72.40663900414937,58.17610062893082,67.24914064086138,65.72504708097928,68.77323420074349,65.50459061990675,80.60046189376443,50.40871934604905,800.0,66728.0
900.0,0.638613706,1.0961044083918549E-8,900.0,68.44444444444444,34.191555097837266,52.82392026578072,28.999999999999986,67.7679046284536,74.55197132616487,58.47953216374269,68.97750137186756,67.53246753246754,70.4225352112676,66.6,83.2,50.0,900.0,66728.0
1000.0,0.663598864,1.1392455824586667E-8,1000.0,65.2,28.715694427943454,47.98206278026906,25.481798715203425,65.06430860926955,71.28712871287128,55.83756345177665,66.07940025417625,63.62297496318114,68.53582554517133,64.0799321845961,81.05065666041276,47.109207708779444,1000.0,66744.0
1100.0,0.685979477,1.1778895614623196E-8,1100.0,63.272727272727266,25.84954331728185,45.10869565217391,24.20262664165102,63.45320576141066,68.53582554517133,55.895196506550214,64.10376860358835,61.366806136680616,66.84073107049609,62.815714848235174,77.60141093474427,48.030018761726076,1100.0,66744.0
1200.0,0.704294616,1.20951759063825E-8,1200.0,61.916666666666664,23.83333333333333,43.08841843088418,23.83333333333333,62.400322273321066,66.52014652014653,55.84541062801932,62.89159341897679,59.34640522875817,66.4367816091954,61.916666666666664,75.66666666666667,48.16666666666667,1200.0,66752.0
1300.0,0.724382843,1.2442075282711949E-8,1300.0,62.92307692307693,25.28397099119768,44.59770114942529,23.854660347551345,63.11224305249101,67.95212765957447,56.02189781021898,63.67903470948131,61.05137395459976,66.30669546436285,62.55545213175403,76.61169415292353,48.49921011058452,1300.0,66752.0
1400.0,0.744410822,1.2787975698993024E-8,1400.0,63.78571428571429,26.462056161522398,45.891141942369266,23.98800599700151,63.78094044762154,69.40253470126736,55.64304461942257,64.51807995925643,62.22943722943724,66.80672268907563,63.06045476579582,78.44474761255115,47.676161919040474,1400.0,66760.0
1500.0,0.762351372,1.3097824421787841E-8,1500.0,64.86666666666666,28.09060311107067,47.50996015936254,24.714285714285705,64.65600689866457,70.83563918096291,55.825649622799666,65.55037657291454,63.55511420059583,67.54563894523326,63.78571428571429,80.0,47.57142857142857,1500.0,66760.0
