learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.982505393,1.1833160875622183E-7,100.0,70.0,-0.5361930294906694,33.333333333333314,-15.384615384615397,49.62374343970218,81.92771084337348,11.76470588235294,49.45652173913043,73.91304347826086,25.0,49.7920997920998,91.8918918918919,7.6923076923076925,100.0,465552.0
200.0,1.652934295,1.991118388990975E-7,200.0,72.0,17.70756796473182,30.0,-1.8181818181818195,59.764059554599456,82.27848101265823,33.333333333333336,62.1496269409155,76.0233918128655,48.275862068965516,57.554858934169275,89.65517241379311,25.454545454545453,200.0,465752.0
300.0,1.968167403,2.3710287575679522E-7,300.0,69.0,15.084002921840767,21.186440677966083,-14.814814814814827,57.681957812122256,79.64989059080962,34.96503496503497,58.396584440227706,76.47058823529412,40.32258064516129,56.984610180957205,83.10502283105022,30.864197530864196,300.0,465856.0
400.0,2.204704755,2.656116722812007E-7,400.0,67.0,13.702928870292888,13.157894736842115,-29.411764705882337,56.852154769566454,77.77777777777779,35.92233009708738,56.80873180873181,78.04054054054053,35.57692307692308,56.89564416370575,77.51677852348993,36.27450980392157,400.0,465888.0
500.0,2.432675293,2.930907796159883E-7,500.0,65.4,16.778910910140475,12.626262626262639,-30.075187969924794,58.46995861641703,75.53041018387553,40.955631399317404,58.014705882352935,78.52941176470588,37.5,58.93241277580873,72.75204359673025,45.11278195488722,500.0,465936.0
600.0,2.710706993,3.2660530894767905E-7,600.0,63.83333333333333,16.896446078431374,8.050847457627107,-39.10256410256411,58.73193173983442,73.69696969696969,42.133333333333326,57.93154280372488,79.79002624671917,36.07305936073059,59.55474705474706,68.46846846846847,50.641025641025635,600.0,465952.0
700.0,2.95182743,3.55673470691993E-7,700.0,63.28571428571429,16.95134336626351,6.204379562043813,-38.91891891891893,58.79361815703571,72.9758149316509,42.761692650334076,57.97539616346956,79.58715596330275,36.36363636363637,59.63526633429546,67.37864077669903,51.891891891891895,700.0,466000.0
800.0,3.203877991,3.8605878678842345E-7,800.0,62.875,17.155967141322996,3.571428571428582,-43.47826086956519,59.024643206650104,72.47451343836886,42.994241842610364,58.06073235301826,80.45267489711934,35.6687898089172,60.021099624442975,65.93591905564924,54.106280193236714,800.0,465992.0
900.0,3.46249606,4.1724064929130386E-7,900.0,61.22222222222222,15.499096074380164,-2.046783625730993,-51.08225108225105,58.30357945070328,70.7949790794979,42.31404958677686,57.32142494052581,80.41825095057035,34.22459893048128,59.319977481412465,63.22869955156951,55.41125541125541,900.0,466064.0
1000.0,3.766166648,4.5385957094955156E-7,1000.0,59.5,13.738019169329052,-10.655737704918042,-62.000000000000014,57.555432412733424,69.10755148741418,41.21915820029027,56.54745227973152,80.74866310160428,32.346241457858774,58.599999999999994,60.4,56.8,1000.0,466128.0
1100.0,4.072711644,4.908276484140361E-7,1100.0,59.0,15.178021857773988,-12.18905472636816,-62.230215827338164,58.51741553687716,67.99148332150462,42.98356510745891,57.3698822107322,81.60136286201022,33.13840155945419,59.71179260970785,58.27250608272506,61.15107913669065,1100.0,466160.0
1200.0,4.316579256,5.202411264328266E-7,1200.0,56.75,13.715710723192027,-19.036697247706435,-73.0,57.9982940352816,65.33066132264528,42.52491694352159,56.875171879296985,81.90954773869346,31.8407960199005,59.166666666666664,54.333333333333336,64.0,1200.0,466224.0
1300.0,4.561221663,5.497521049063882E-7,1300.0,54.769230769230774,12.161354673236557,-24.576271186440675,-84.90566037735853,57.357302901232934,63.11166875784191,41.5506958250497,56.28372473020215,82.18954248366013,30.377906976744185,58.4726331834659,51.22199592668024,65.72327044025157,1300.0,466288.0
1400.0,4.779790996,5.761215323363184E-7,1400.0,53.85714285714286,12.229112683300832,-26.66666666666665,-87.24637681159419,57.55527475409876,61.63895486935866,42.1146953405018,56.49590996352269,82.51192368839428,30.479896238651104,58.65512741259702,49.19431279620853,68.11594202898551,1400.0,466352.0
1460.0,4.915495219,5.92494210897678E-7,1460.0,53.493150684931514,12.528411898408942,-27.153558052434445,-87.05234159779616,57.82146564991608,60.86455331412104,42.700421940928265,56.76860474872053,82.75862068965517,30.77858880778589,58.91411839451949,48.13126709206928,69.6969696969697,1460.0,466368.0
