learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,0.331967436,1.927151982113719E-9,100.0,91.0,0.0,-799.999999999999,-Infinity,?,?,95.28795811518324,50.0,0.0,100.0,?,?,91.0,100.0,22440.0
200.0,0.459927918,2.6699938086792825E-9,200.0,94.5,0.0,-1000.0,-Infinity,?,?,97.17223650385604,50.0,0.0,100.0,?,?,94.5,200.0,22440.0
300.0,0.593483466,3.4453163588419556E-9,300.0,96.33333333333334,0.0,-1000.00000000001,-Infinity,?,?,98.13242784380306,50.0,0.0,100.0,?,?,96.33333333333334,300.0,22440.0
400.0,0.75784431,4.399471170268953E-9,400.0,97.0,0.0,-1100.0000000000266,-Infinity,?,?,98.47715736040608,50.0,0.0,100.0,?,?,97.0,400.0,22440.0
500.0,0.866409221,5.02971697372074E-9,500.0,97.6,0.0,-1100.0,-Infinity,?,?,98.78542510121457,50.0,0.0,100.0,?,?,97.6,500.0,22440.0
600.0,0.995823832,5.7810003740092125E-9,600.0,98.0,0.0,-1099.9999999999734,-Infinity,?,?,98.98989898989899,50.0,0.0,100.0,?,?,98.0,600.0,22440.0
700.0,1.1257095,6.535018375143409E-9,700.0,98.28571428571429,0.0,-1099.9999999999845,-Infinity,?,?,99.13544668587896,50.0,0.0,100.0,?,?,98.28571428571429,700.0,22440.0
800.0,1.255406761,7.287942627662172E-9,800.0,98.125,0.0,-1400.0000000000355,-Infinity,?,?,99.05362776025235,50.0,0.0,100.0,?,?,98.125,800.0,22440.0
900.0,1.393795916,8.091325446094076E-9,900.0,98.33333333333333,0.0,-1400.00000000007,-Infinity,?,?,99.15966386554621,50.0,0.0,100.0,?,?,98.33333333333333,900.0,22440.0
1000.0,1.542724917,8.955894642788917E-9,1000.0,98.4,0.0,-1500.0,-Infinity,?,?,99.19354838709677,50.0,0.0,100.0,?,?,98.4,1000.0,22440.0
1100.0,1.702452323,9.883151215842615E-9,1100.0,98.54545454545455,0.0,-1500.0000000000855,-Infinity,?,?,99.26739926739927,50.0,0.0,100.0,?,?,98.54545454545455,1100.0,22440.0
1200.0,1.884116304,1.0937754960358143E-8,1200.0,98.66666666666667,0.0,-1499.99999999996,-Infinity,?,?,99.32885906040269,50.0,0.0,100.0,?,?,98.66666666666667,1200.0,22440.0
1300.0,2.045085261,1.187221903996542E-8,1300.0,98.76923076923076,0.0,-1500.0000000000578,-Infinity,?,?,99.38080495356036,50.0,0.0,100.0,?,?,98.76923076923076,1300.0,22440.0
1400.0,2.212162417,1.2842142705464115E-8,1400.0,98.85714285714286,0.0,-1500.000000000109,-Infinity,?,?,99.42528735632185,50.0,0.0,100.0,?,?,98.85714285714286,1400.0,22440.0
