learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100.0,1.267220011,2.0156606445175077E-7,100.0,50.0,15.196743554952505,25.37313432835821,-51.51515151515154,61.47955651466182,43.18181818181818,55.35714285714286,63.053613053613056,86.36363636363636,39.743589743589745,59.98217468805704,28.78787878787879,91.17647058823529,100.0,614848.0
200.0,1.964445665,3.1256458442256265E-7,200.0,57.49999999999999,26.202465705851697,36.56716417910447,-28.787878787878817,68.01919839748915,54.54545454545454,60.093896713615024,69.1400304414003,94.44444444444444,43.83561643835616,66.93412636067781,38.34586466165413,95.52238805970148,200.0,615384.0
300.0,2.552924125,4.0630654480680407E-7,300.0,69.0,42.4742268041237,53.49999999999999,6.060606060606033,74.97046740836082,70.4761904761905,67.36842105263159,74.20681551116334,96.52173913043478,51.891891891891895,75.75,55.50000000000001,96.0,300.0,615752.0
400.0,2.832529641,4.5095638836597814E-7,400.0,55.25,12.941977530275775,32.70676691729323,-8.484848484848492,56.844580381653145,55.36159600997506,55.13784461152882,56.83868314872401,66.46706586826348,47.21030042918455,56.85047883843064,47.43589743589743,66.26506024096386,400.0,617272.0
500.0,3.139394745,4.999694417459311E-7,500.0,50.4,2.052165121091952,25.525525525525527,-6.896551724137938,51.06064598716071,47.23404255319149,53.20754716981132,51.07727521520625,54.679802955665025,47.474747474747474,51.04402758354632,41.57303370786517,60.51502145922747,500.0,617400.0
600.0,3.4150306,5.439973548777857E-7,600.0,49.5,-1.0000000000000009,24.060150375939845,-1.3377926421404769,49.484260566033804,42.50474383301708,54.977711738484395,49.46853113817009,49.33920704845815,49.597855227882036,49.5,37.333333333333336,61.66666666666667,600.0,617440.0
700.0,3.664964323,5.839203279668362E-7,700.0,49.714285714285715,0.801958195110955,24.30107526881721,-6.024096385542159,50.4274750282545,42.295081967213115,55.44303797468354,50.44758412424504,52.86885245901639,48.026315789473685,50.40738195739668,35.24590163934426,65.5688622754491,700.0,617448.0
800.0,3.952552428,6.29850852788633E-7,800.0,52.125,6.524949052436329,28.007518796992475,-4.93150684931506,53.51219157771617,46.43356643356643,56.7231638418079,53.6604233412744,58.86524822695035,48.455598455598455,53.36477651012201,38.33718244803695,68.39237057220708,800.0,617352.0
900.0,4.209977108,6.709661260540908E-7,900.0,55.333333333333336,13.23741007194245,32.77591973244148,-1.0050251256281473,57.11742753709183,51.56626506024096,58.55670103092784,57.336523125996806,64.84848484848484,49.824561403508774,56.89999999999999,42.8,71.0,900.0,617384.0
1000.0,4.504988381,7.180931906386403E-7,1000.0,52.5,6.662893882587816,28.463855421686752,-2.370689655172416,53.52337639465863,47.397563676633446,56.70009115770283,53.64071311077612,57.994579945799465,49.28684627575277,53.40655189596695,40.074906367041194,66.7381974248927,1000.0,617496.0
1100.0,4.844848798,7.723861627923408E-7,1100.0,51.63636363636363,4.108017762629658,27.22298221614227,-0.18832391713746616,52.16211675126655,44.698544698544694,57.027463651050084,52.25065086632552,54.43037974683544,50.070921985815595,52.07388215518297,37.91887125220458,66.22889305816135,1100.0,617512.0
1200.0,5.182218637,8.262784702377787E-7,1200.0,51.416666666666664,2.833333333333332,26.85069008782936,2.508361204013369,51.48577653317988,42.89911851126346,57.72298767222625,51.55507243283459,52.01900237529691,51.09114249037228,51.416666666666664,36.5,66.33333333333333,1200.0,617480.0
1300.0,5.481475186,8.740868001859159E-7,1300.0,51.23076923076923,3.165621798426589,26.535341830822723,-0.47543581616480235,51.670894554173195,43.594306049822066,57.04607046070461,51.7467248908297,53.493449781659386,50.0,51.59528613787289,36.786786786786784,66.40378548895899,1300.0,617536.0
1400.0,5.761743423,9.188604541923995E-7,1400.0,52.28571428571429,5.883489556811083,28.172043010752695,-0.6024096385542007,53.12862400295392,45.51386623164764,57.560355781448536,53.26858264881438,56.5922920892495,49.94487320837927,52.98939888855028,38.062755798090045,67.9160419790105,1400.0,617520.0
1500.0,6.026609078,9.611756942561454E-7,1500.0,53.666666666666664,9.086945146943396,30.22088353413654,0.2869440459110396,54.85226416997173,47.86196549137284,58.30833833233354,55.0542188661088,59.849906191369605,50.25853154084798,54.651785714285715,39.875,69.42857142857143,1500.0,617552.0
